Stkcd,ShortName,Accper,ROE,净利润增长率,营业收入增长率,资产负债率,总资产,研发投入,TobinQ
938,紫光股份,2019-12-31,0.097799,0.705402,0.070532,0.408855,54739257221.06,3941072323.52,1.588193
938,紫光股份,2020-03-31,0.013251,-0.589293,-0.382664,0.397101,54415634929.47,860567359.46,1.723112
938,紫光股份,2020-06-30,0.045287,1.457351,0.563475,0.403314,56253138846.12,1746384738.25,1.964195
938,紫光股份,2020-09-30,0.067188,-0.30486,0.014756,0.418877,58562212460.72,2570342718.64,1.660835
938,紫光股份,2020-12-31,0.097489,0.373576,0.160075,0.419034,58833329201.59,3830837459.13,1.413175
938,紫光股份,2021-03-31,0.014376,-0.527562,-0.263654,0.412616,56952157454.4,856766373.5,1.408961
938,紫光股份,2021-06-30,0.048702,1.438733,0.276557,0.40877,58274563354.33,1892806970.93,1.482627
938,紫光股份,2021-09-30,0.083508,0.05479,-0.021365,0.426913,62415232288.65,3060984478.63,1.569749
938,紫光股份,2021-12-31,0.11035,-0.256511,0.186023,0.463081,66430452552.15,4337730795.54,1.446859
938,紫光股份,2022-03-31,0.018044,-0.290149,-0.233428,0.452606,66409540137.43,1144895063.91,1.294572
938,紫光股份,2022-06-30,0.046234,0.589798,0.242403,0.480574,71475525010.89,2363488980.25,1.256862
938,紫光股份,2022-09-30,0.078524,0.175458,0.022417,0.466458,71446786635.61,3620630929.44,1.16796904
938,紫光股份,2022-12-31,0.101819,-0.304456,0.034889,0.489248,74063005959.15,5298851200.81,1.242663
938,紫光股份,2023-03-31,0.020289,-0.082031,-0.180445,0.468644,72637265312.63,1397071718.47,1.621933
938,紫光股份,2023-06-30,0.046559,0.32551,0.180796,0.49482,78428310812.98,2774110618.82,1.656308
938,紫光股份,2023-09-30,0.0705,-0.116883,-0.017798,0.52558,82344216469.71,4186669794.94,1.344242
938,紫光股份,2023-12-31,0.094632,0.073277,0.152507,0.541135,87264490585.74,5643444840.42,1.175328
938,紫光股份,2024-03-31,0.017304,-0.282412,-0.230242,0.518444,84605412779.72,1243582000.09,1.252349
938,紫光股份,2024-06-30,0.042541,0.468628,0.231585,0.537441,88804125344.75,2410607353.03,1.257259
938,紫光股份,2024-09-30,0.071508,-0.709717,-0.002677,0.805461,85079102760.35,3774676491.55,1.616968
938,紫光股份,2024-12-31,0.070597,-1.138177,-0.033698,0.80575444,88814023840.88,5101818089.81,1.714769
938,紫光股份,2025-06-30,0.077185,1.270174,0.281159,0.80575444,97379405844.1,2447546199.31,1.528188
938,紫光股份,2025-09-30,0.103363,-0.509053,0.12246,0.80575444,93637748623.11,3726141173.3,1.737924
977,浪潮信息,2019-12-31,0.0974,0.813561,-0.195727,0.649489,29409085017.16,2347722543.33,1.96903
977,浪潮信息,2020-03-31,0.010194,-0.736931,-0.16299,0.590718,30368939359.03,455746048.93,2.430973
977,浪潮信息,2020-06-30,0.033428,1.309206,0.695676,0.682691,39828588327.13,1262642582.58,2.100342
977,浪潮信息,2020-09-30,0.052144,-0.06057,-0.201267,0.638479,38849645568.41,1876755654.02,1.775647
977,浪潮信息,2020-12-31,0.120065,2.476497,0.152341,0.613086,38322865650.5,2635456131.65,1.632739
977,浪潮信息,2021-03-31,0.01508,-0.741957,-0.334779,0.571268,35183387412.78,595563771.71,1.702566
977,浪潮信息,2021-06-30,0.052918,1.558437,0.448015,0.556943,34995802146.15,1512215242.7,1.72546
977,浪潮信息,2021-09-30,0.08784,-0.042692,0.047452,0.670814,48674288740.81,2159308817.14,1.522601
977,浪潮信息,2021-12-31,0.133578,0.221893,0.175699,0.663142,46208162562.76,2921294813.57,1.790364
977,浪潮信息,2022-03-31,0.020596,-0.52011,-0.169399,0.699334,52844889638.72,563629980.89,1.44621
977,浪潮信息,2022-06-30,0.058626,0.890465,0.017157,0.664948,48869937935.97,1347621983.43,1.452642
977,浪潮信息,2022-09-30,0.093237,-0.040393,0.019529,0.606765,43541530202.77,2127293033.64,1.270689
977,浪潮信息,2022-12-31,0.123894,-0.094948,-0.064618,0.570415,41013425651.96,3230426011.38,1.338432
977,浪潮信息,2023-03-31,0.010966,-0.634912,-0.439076,0.616055,46337364733.85,644916966.58,1.724797
977,浪潮信息,2023-06-30,0.017581,-0.392979,0.637929,0.62947,48245542136.84,1423381792.71,2.109369
