,count,mean,std,min,25%,50%,75%,max
TobinQ,345.0,4.6011579620869565,3.7501325133460175,1.16796904,2.070134,3.177586,6.069772,20.41688944000001
ln_RD,345.0,19.733632355760847,1.4989549215831046,16.75596747595423,18.602440073642946,19.5259089248625,20.865106099890323,23.06216708673945
RD_Intensity,345.0,0.039544934692693025,0.034090653959987595,0.0035199651958777,0.0178674151681655,0.0310451074210671,0.0490422668696312,0.239760906575959
Lag_1_ln_RD,327.0,19.709932742852775,1.5077308361785897,16.75596747595423,18.562149677145044,19.49309956607706,20.87662067151879,23.06216708673945
Lag_1_RD_Intensity,327.0,0.039347980099728515,0.03379253044615989,0.0035199651958777,0.017212279389330648,0.0311054452873515,0.04919645718125805,0.239760906575959
ROE,345.0,0.08353120127536232,0.08603739602962475,-0.01581568,0.026855,0.057628,0.107078,0.4892560400000003
净利润增长率,345.0,0.36111851547826096,1.4952783568420007,-2.41789424,-0.362965,0.073277,0.652497,8.162440200000004
营业收入增长率,345.0,0.09033480139130434,0.35576455643780325,-0.61762268,-0.093418,0.059113,0.261962,1.3299138
资产负债率,345.0,0.33266173344927535,0.1750636649547436,0.08585432,0.174002,0.307531,0.447754,0.80575444
ln_Asset,345.0,23.254122033881476,1.415312631675278,20.840063617381876,22.172928709313855,23.00787061008237,24.278493952561178,26.47115509945332
