Stkcd,ShortName,Accper,ROE,净利润增长率,营业收入增长率,资产负债率,总资产,研发投入,TobinQ,Year,Quarter,ln_Asset,ln_RD,RD_Intensity,Lag_1_ln_RD,Lag_1_RD_Intensity
938,紫光股份,2019-12-31,0.097799,0.705402,0.070532,0.408855,54739257221.06,3941072323.52,1.588193,2019,4,24.725846971249855,22.09471868681022,0.0719971830747411,,
938,紫光股份,2020-03-31,0.013251,-0.589293,-0.382664,0.397101,54415634929.47,860567359.46,1.723112,2020,1,24.719917356306617,20.5731024511564,0.01581470767685448,22.09471868681022,0.0719971830747411
938,紫光股份,2020-06-30,0.045287,1.457351,0.563475,0.403314,56253138846.12,1746384738.25,1.964195,2020,2,24.75312767818288,21.28081362475711,0.031045107421067135,20.5731024511564,0.01581470767685448
938,紫光股份,2020-09-30,0.067188,-0.30486,0.014756,0.418877,58562212460.72,2570342718.64,1.660835,2020,3,24.79335548697731,21.667305080908218,0.04389080621508333,21.28081362475711,0.031045107421067135
938,紫光股份,2020-12-31,0.097489,0.373576,0.160075,0.419034,58833329201.59,3830837459.13,1.413175,2020,4,24.79797435442372,22.06634927423418,0.06511338914722627,21.667305080908218,0.04389080621508333
938,紫光股份,2021-03-31,0.014376,-0.527562,-0.263654,0.412616,56952157454.4,856766373.5,1.408961,2021,1,24.76547740943021,20.56867583087951,0.01504361576093037,22.06634927423418,0.06511338914722627
938,紫光股份,2021-06-30,0.048702,1.438733,0.276557,0.40877,58274563354.33,1892806970.93,1.482627,2021,2,24.78843152899297,21.361326734576583,0.032480843475755666,20.56867583087951,0.01504361576093037
938,紫光股份,2021-09-30,0.083508,0.05479,-0.021365,0.426913,62415232288.65,3060984478.63,1.569749,2021,3,24.857075189722384,21.842002426537473,0.04904226686963127,21.361326734576583,0.032480843475755666
938,紫光股份,2021-12-31,0.11035,-0.256511,0.186023,0.463081,66430452552.15,4337730795.54,1.446859,2021,4,24.919421411066864,22.190617190380756,0.0652973241772626,21.842002426537473,0.04904226686963127
938,紫光股份,2022-03-31,0.018044,-0.290149,-0.233428,0.452606,66409540137.43,1144895063.91,1.294572,2022,1,24.919106559876806,20.85857882338602,0.01723991856502421,22.190617190380756,0.0652973241772626
938,紫光股份,2022-06-30,0.046234,0.589798,0.242403,0.480574,71475525010.89,2363488980.25,1.256862,2022,2,24.992620920505775,21.583404746138886,0.03306710905432173,20.85857882338602,0.01723991856502421
938,紫光股份,2022-09-30,0.078524,0.175458,0.022417,0.466458,71446786635.61,3620630929.44,1.16796904,2022,3,24.992218766701566,22.009914137774118,0.050675910001464375,21.583404746138886,0.03306710905432173
938,紫光股份,2022-12-31,0.101819,-0.304456,0.034889,0.489248,74063005959.15,5298851200.81,1.242663,2022,4,25.028181999768478,22.39075587963439,0.07154518145985894,22.009914137774118,0.050675910001464375
938,紫光股份,2023-03-31,0.020289,-0.082031,-0.180445,0.468644,72637265312.63,1397071718.47,1.621933,2023,1,25.008743923402886,21.05764425410677,0.019233539595096518,22.39075587963439,0.07154518145985894
938,紫光股份,2023-06-30,0.046559,0.32551,0.180796,0.49482,78428310812.98,2774110618.82,1.656308,2023,2,25.08545080642764,21.74359603541239,0.03537129118380656,21.05764425410677,0.019233539595096518
938,紫光股份,2023-09-30,0.0705,-0.116883,-0.017798,0.52558,82344216469.71,4186669794.94,1.344242,2023,3,25.134174060013397,22.155171456755973,0.0508435197325613,21.74359603541239,0.03537129118380656
938,紫光股份,2023-12-31,0.094632,0.073277,0.152507,0.541135,87264490585.74,5643444840.42,1.175328,2023,4,25.192209465450908,22.453760503487437,0.06467057565499847,22.155171456755973,0.0508435197325613
938,紫光股份,2024-03-31,0.017304,-0.282412,-0.230242,0.518444,84605412779.72,1243582000.09,1.252349,2024,1,25.161264082359654,20.94126176281319,0.014698610398932865,22.453760503487437,0.06467057565499847
938,紫光股份,2024-06-30,0.042541,0.468628,0.231585,0.537441,88804125344.75,2410607353.03,1.257259,2024,2,25.209698942450483,21.603144566819083,0.027145218126654436,20.94126176281319,0.014698610398932865
938,紫光股份,2024-09-30,0.071508,-0.709717,-0.002677,0.805461,85079102760.35,3774676491.55,1.616968,2024,3,25.166847281387742,22.051580518637426,0.04436667018201253,21.603144566819083,0.027145218126654436
938,紫光股份,2024-12-31,0.070597,-1.138177,-0.033698,0.80575444,88814023840.88,5101818089.81,1.714769,2024,4,25.209810400611552,22.352862801543917,0.05744383453395224,22.051580518637426,0.04436667018201253
938,紫光股份,2025-06-30,0.077185,1.270174,0.281159,0.80575444,97379405844.1,2447546199.31,1.528188,2025,2,25.30188058626625,21.618351808721933,0.025134125414858353,22.352862801543917,0.05744383453395224
938,紫光股份,2025-09-30,0.103363,-0.509053,0.12246,0.80575444,93637748623.11,3726141173.3,1.737924,2025,3,25.262699436382928,22.038638997377443,0.039793152100416694,21.618351808721933,0.025134125414858353
977,浪潮信息,2019-12-31,0.0974,0.813561,-0.195727,0.649489,29409085017.16,2347722543.33,1.96903,2019,4,24.104569477745112,21.57671156511996,0.07982983972334128,,
977,浪潮信息,2020-03-31,0.010194,-0.736931,-0.16299,0.590718,30368939359.03,455746048.93,2.430973,2020,1,24.136686191424175,19.937446304299527,0.015006979451670807,21.57671156511996,0.07982983972334128
977,浪潮信息,2020-06-30,0.033428,1.309206,0.695676,0.682691,39828588327.13,1262642582.58,2.100342,2020,2,24.407850791059694,20.95647265022594,0.031701916528131806,19.937446304299527,0.015006979451670807
977,浪潮信息,2020-09-30,0.052144,-0.06057,-0.201267,0.638479,38849645568.41,1876755654.02,1.775647,2020,3,24.3829647906402,21.352810407611194,0.048308179561515875,20.95647265022594,0.031701916528131806
977,浪潮信息,2020-12-31,0.120065,2.476497,0.152341,0.613086,38322865650.5,2635456131.65,1.632739,2020,4,24.369312569364197,21.69232210932875,0.06876980849201227,21.352810407611194,0.048308179561515875
977,浪潮信息,2021-03-31,0.01508,-0.741957,-0.334779,0.571268,35183387412.78,595563771.71,1.702566,2021,1,24.28383985964715,20.20501903205854,0.01692741420042084,21.69232210932875,0.06876980849201227
977,浪潮信息,2021-06-30,0.052918,1.558437,0.448015,0.556943,34995802146.15,1512215242.7,1.72546,2021,2,24.278493952561178,21.136841461516408,0.04321133250167159,20.20501903205854,0.01692741420042084
977,浪潮信息,2021-09-30,0.08784,-0.042692,0.047452,0.670814,48674288740.81,2159308817.14,1.522601,2021,3,24.608416775685175,21.493054015832396,0.044362411305859925,21.136841461516408,0.04321133250167159
977,浪潮信息,2021-12-31,0.133578,0.221893,0.175699,0.663142,46208162562.76,2921294813.57,1.790364,2021,4,24.556422298275855,21.79529278458799,0.06322031977796765,21.493054015832396,0.044362411305859925
977,浪潮信息,2022-03-31,0.020596,-0.52011,-0.169399,0.699334,52844889638.72,563629980.89,1.44621,2022,1,24.690626849009668,20.14990853368176,0.010665742416027725,21.79529278458799,0.06322031977796765
977,浪潮信息,2022-06-30,0.058626,0.890465,0.017157,0.664948,48869937935.97,1347621983.43,1.452642,2022,2,24.61242827824547,21.021607383128817,0.027575684364397415,20.14990853368176,0.010665742416027725
977,浪潮信息,2022-09-30,0.093237,-0.040393,0.019529,0.606765,43541530202.77,2127293033.64,1.270689,2022,3,24.496981036893402,21.47811613266442,0.04885664384630808,21.021607383128817,0.027575684364397415
977,浪潮信息,2022-12-31,0.123894,-0.094948,-0.064618,0.570415,41013425651.96,3230426011.38,1.338432,2022,4,24.437165304974908,21.89587985786165,0.0787650863108437,21.47811613266442,0.04885664384630808
977,浪潮信息,2023-03-31,0.010966,-0.634912,-0.439076,0.616055,46337364733.85,644916966.58,1.724797,2023,1,24.559214486268207,20.284632134039207,0.013917860247000204,21.89587985786165,0.0787650863108437
977,浪潮信息,2023-06-30,0.017581,-0.392979,0.637929,0.62947,48245542136.84,1423381792.71,2.109369,2023,2,24.599569269516778,21.076301422042288,0.02950286657931686,20.284632134039207,0.013917860247000204
977,浪潮信息,2023-09-30,0.044648,2.967978,0.513182,0.665825,51788946879.75,2166943066.44,1.734914,2023,3,24.670442582743142,21.496583286631278,0.04184180596433979,21.076301422042288,0.02950286657931686
977,浪潮信息,2023-12-31,0.099914,1.172844,-0.237289,0.620018,48119624861.79,3071020483.24,1.635714,2023,4,24.59695593213285,21.845275748601022,0.0638205408304956,21.496583286631278,0.04184180596433979
977,浪潮信息,2024-03-31,0.016052,-0.708564,-0.009209,0.627444,49960857172.39,631623983.83,1.891526,2024,1,24.634505679230145,20.26380481433975,0.012642376844147823,21.845275748601022,0.0638205408304956
977,浪潮信息,2024-06-30,0.031215,-0.049641,0.389081,0.703395,63123381733.21,1369382214.76,1.5516,2024,2,24.868357088303785,21.03762553768214,0.021693739738908046,20.26380481433975,0.012642376844147823
977,浪潮信息,2024-09-30,0.068165,1.489977,0.678958,0.771888,84271425346.1,2287685287.45,1.49685,2024,3,25.15730868062703,21.550806352248895,0.027146630996859857,21.03762553768214,0.021693739738908046
977,浪潮信息,2024-12-31,0.118597,0.443336,-0.229422,0.714421,71191039667.42,3512157054.75,1.787229,2024,4,24.988632800077202,21.979496231465966,0.049334257108164,21.550806352248895,0.027146630996859857
977,浪潮信息,2025-03-31,0.022556,-0.543807,0.48091,0.774719,91480946121.3,658119208.0,1.635333,2025,1,25.23939654843164,20.304896641573535,0.007194057734463751,21.979496231465966,0.049334257108164
977,浪潮信息,2025-06-30,0.03887,-0.270356,-0.288621,0.80575444,107007323595.35,1490466672.34,1.505958,2025,2,25.396163113882434,21.122355111449668,0.013928641725273166,20.304896641573535,0.007194057734463751
977,浪潮信息,2025-09-30,0.071386,1.051729,0.214271,0.804189,109333189348.98,2469908503.46,1.806229,2025,3,25.417665839731516,21.627446944171453,0.022590656306350973,21.122355111449668,0.013928641725273166
2230,科大讯飞,2019-12-31,0.09456,1.05097,0.494961,0.416202,20100836085.61,1639545495.61,4.187531,2019,4,23.724027247445346,21.217684904159768,0.08156603479711648,,
2230,科大讯飞,2020-03-31,-0.01068,-1.267985,-0.598121,0.402592,19502448035.58,461561771.26,4.287381,2020,1,23.693805834922745,19.95012645400085,0.023666863278801357,21.217684904159768,0.08156603479711648
2230,科大讯飞,2020-09-30,0.051347,-0.18523,-0.001873,0.447652,22493555730.76,1633815355.07,3.796215,2020,3,23.836494693166824,21.21418382581796,0.07263481926229,19.95012645400085,0.023666863278801357
2230,科大讯飞,2020-12-31,0.116712,1.455711,0.95599,0.477703,24836091818.68,2211061146.73,4.138707,2020,4,23.93556374744174,21.516738394581314,0.08902613031358629,21.21418382581796,0.07263481926229
2230,科大讯飞,2021-03-31,0.012235,-0.805352,-0.564277,0.443681,23669932341.61,503336277.88,4.986219,2021,1,23.8874714020656,20.036769051167482,0.021264795801514472,21.516738394581314,0.08902613031358629
2230,科大讯飞,2021-06-30,0.035749,0.881034,0.526143,0.471847,24235612034.57,1152392553.04,6.673747,2021,2,23.911088960084967,20.865106099890323,0.047549554407630056,20.036769051167482,0.021264795801514472
2230,科大讯飞,2021-09-30,0.053604,0.020204,0.191747,0.447261,28340201326.63,2022496431.52,4.741437,2021,3,24.067547175157955,21.427598442999198,0.07136492815312331,20.865106099890323,0.047549554407630056
2230,科大讯飞,2021-12-31,0.106286,1.747521,0.636652,0.447754,31394037754.41,2829840977.5,4.336196,2021,4,24.169883831398245,21.76348635568001,0.09013943984005324,21.427598442999198,0.07136492815312331
2230,科大讯飞,2022-03-31,0.005812,-0.880286,-0.529123,0.414817,29723372351.4,676670061.01,4.056524,2022,1,24.11519952113254,20.332694359068178,0.022765588406664365,21.76348635568001,0.09013943984005324
2230,科大讯飞,2022-06-30,0.013958,0.402522,0.288278,0.420345,30033055431.91,1438807706.74,3.609667,2022,2,24.125564459750226,21.087080626832833,0.04790747015407805,20.332694359068178,0.022765588406664365
2230,科大讯飞,2022-09-30,0.021907,-0.104209,0.026889,0.46282,30490402537.01,2330636348.25,2.964117,2022,3,24.14067780012279,21.569407178502022,0.07643835942870929,21.087080626832833,0.04790747015407805
2230,科大讯飞,2022-12-31,0.029173,0.019728,0.327999,0.487294,32859139720.02,3111297143.68,2.808986,2022,4,24.215495769055188,21.85830556450194,0.09468589774991547,21.569407178502022,0.07643835942870929
2230,科大讯飞,2023-03-31,-0.005658,-1.734778,-0.531193,0.472128,31715175704.12,715732056.5,5.136583,2023,1,24.180061132112147,20.388816433517913,0.02256749460186727,21.85830556450194,0.09468589774991547
2230,科大讯飞,2023-09-30,0.002683,-0.725365,-0.036693,0.525212,35214158378.55,2498270644.89,3.856603,2023,3,24.284714065342357,21.638864587812925,0.0709450618706756,20.388816433517913,0.02256749460186727
2230,科大讯飞,2023-12-31,0.035463,8.162440200000004,0.474497,0.531285,37831122978.15,3481185262.99,3.370261,2023,4,24.356397960008017,21.970638665844707,0.09201908346735085,21.638864587812925,0.0709450618706756
2230,科大讯飞,2024-03-31,-0.01581568,-1.610866,-0.48182,0.532443,37181743281.23,842211844.66,3.566327,2024,1,24.339083705747566,20.55154213873211,0.022651219935810898,21.970638665844707,0.09201908346735085
2230,科大讯飞,2024-12-31,0.027823,8.162440200000004,0.537297,0.54881,41478899803.2,3891601383.59,3.241837,2024,4,24.448450696407285,22.082086576854877,0.09382122963853956,20.55154213873211,0.022651219935810898
2230,科大讯飞,2025-03-31,-0.011544,-1.232783,-0.451606,0.546323,41444902737.48,946960540.25,3.199726,2025,1,24.44763073720177,20.668767983175602,0.02284866117911364,22.082086576854877,0.09382122963853956
2362,汉王科技,2019-12-31,0.046195,3.014719,0.754554,0.263904,1300922315.78,129513598.87,2.929312,2019,4,20.98633932353335,18.679296451890988,0.09955521348124999,,
2362,汉王科技,2020-03-31,-0.000674,-1.034518,-0.543539,0.201805,1199595671.37,29137838.47,3.132148,2020,1,20.905250396438152,17.187548212880333,0.024289716248078064,18.679296451890988,0.09955521348124999
2362,汉王科技,2020-09-30,0.125886,0.194859,0.239494,0.237196,1383723805.77,90949270.03,3.593047,2020,3,21.04804411192177,18.325812447833062,0.06572790729678132,17.187548212880333,0.024289716248078064
2362,汉王科技,2020-12-31,0.143856,-0.097999,0.345452,0.202466,2098304662.08,143876406.83,2.729849,2020,4,21.46439555185918,18.78446521004967,0.06856792982930264,18.325812447833062,0.06572790729678132
2362,汉王科技,2021-03-31,0.018982,-0.487165,-0.356526,0.172106,2060231133.18,34150036.92,2.452636,2021,1,21.446084014026702,17.34627425437577,0.016575828007845347,18.78446521004967,0.06856792982930264
2362,汉王科技,2021-06-30,0.037564,0.000723,-0.024462,0.177848,2119923880.09,69943970.27,2.553295,2021,2,21.474646019367785,18.0632050690856,0.032993623463041785,17.34627425437577,0.016575828007845347
2362,汉王科技,2021-09-30,0.049872,-0.327161,0.0769,0.173872,2137394101.97,113261279.32,2.070134,2021,3,21.482853214609886,18.545207922841737,0.0529903583132418,18.0632050690856,0.032993623463041785
2362,汉王科技,2021-12-31,0.061997,-0.038821,0.307189,0.196044,2192524422.37,182833341.83,2.117096,2021,4,21.508319421199886,19.024085600953107,0.0833894208723874,18.545207922841737,0.0529903583132418
2362,汉王科技,2022-03-31,-0.01581568,-2.41789424,-0.4315,0.192025,2126444993.73,42911298.37,1.922162,2022,1,21.477717405278966,17.574645737795652,0.020179829949294494,19.024085600953107,0.0833894208723874
300002,神州泰岳,2020-06-30,0.020199,8.162440200000004,0.342321,0.318762,5335797166.9,103857875.3,2.593804,2020,2,22.397704132637102,18.458533948453308,0.01946435969198198,,
300002,神州泰岳,2020-09-30,0.049195,0.612608,0.295872,0.285705,5220827551.55,153939363.72,2.370443,2020,3,22.37592176105534,18.85206934725928,0.029485625066144404,18.458533948453308,0.01946435969198198
300002,神州泰岳,2020-12-31,0.084997,0.312137,0.390251,0.237785,5190170901.31,212656088.54,2.168585,2020,4,22.370032462543527,19.175186815698765,0.04097284898389869,18.85206934725928,0.029485625066144404
300002,神州泰岳,2021-03-31,0.018807,-0.476029,-0.291121,0.240233,5314431312.63,56679568.39,1.963522,2021,1,22.393691846332796,17.852924375545474,0.01066521798020012,19.175186815698765,0.04097284898389869
300002,神州泰岳,2021-06-30,0.035254,-0.110104,0.07998,0.217387,5243326970.37,120460478.03,2.031368,2021,2,22.38022205181374,18.606832282244696,0.02297405420465312,17.852924375545474,0.01066521798020012
300002,神州泰岳,2021-09-30,0.048149,-0.19812,-0.028959,0.216021,5322934409.41,189700846.76,2.345506,2021,3,22.395290568951403,19.06095890384623,0.03563839645001875,18.606832282244696,0.02297405420465312
300002,神州泰岳,2021-12-31,0.088167,2.164126,0.35468,0.17428,5248070407.07,262809648.82,2.539666,2021,4,22.381126304479533,19.38694056315478,0.05007738624580053,19.06095890384623,0.03563839645001875
300002,神州泰岳,2022-03-31,0.012345,-0.681424,-0.264787,0.190623,5468749639.91,67637819.63,1.85094,2022,1,22.422315842225167,18.02967786133956,0.012368059261003787,19.38694056315478,0.05007738624580053
300002,神州泰岳,2022-06-30,0.04681,1.833669,0.100488,0.191261,5592724874.8,143420694.82,1.639448,2022,2,22.44473246058721,18.781292798031533,0.02564415343694675,18.02967786133956,0.012368059261003787
300002,神州泰岳,2022-09-30,0.080378,0.02077,0.059241,0.162324,5629871975.19,219311625.45,1.451171,2022,3,22.45135253908635,19.206004228170677,0.03895499336689598,18.781292798031533,0.02564415343694675
