Model,Feature,VIF
模型1: 当期 ln_RD,ln_RD,4.4886025795429125
模型1: 当期 ln_RD,ROE,1.1343769018469139
模型1: 当期 ln_RD,净利润增长率,1.6425630990347864
模型1: 当期 ln_RD,营业收入增长率,1.7705725882982157
模型1: 当期 ln_RD,资产负债率,2.1626395525827316
模型1: 当期 ln_RD,ln_Asset,4.798612101771348
模型2: 滞后1年 ln_RD,Lag_1yr_ln_RD,4.128513501317702
模型2: 滞后1年 ln_RD,ROE,1.1776656456447316
模型2: 滞后1年 ln_RD,净利润增长率,1.8060894887004721
模型2: 滞后1年 ln_RD,营业收入增长率,1.954063692269863
模型2: 滞后1年 ln_RD,资产负债率,2.546959089957122
模型2: 滞后1年 ln_RD,ln_Asset,4.455116630761216
模型3: 滞后2年 ln_RD,Lag_2yr_ln_RD,4.353612824502958
模型3: 滞后2年 ln_RD,ROE,1.229482018734273
模型3: 滞后2年 ln_RD,净利润增长率,1.7307315226689586
模型3: 滞后2年 ln_RD,营业收入增长率,1.9689946774435882
模型3: 滞后2年 ln_RD,资产负债率,3.088350533465468
模型3: 滞后2年 ln_RD,ln_Asset,4.462060664675023
模型4: 滞后3年 ln_RD,Lag_3yr_ln_RD,4.42662727568164
模型4: 滞后3年 ln_RD,ROE,1.203469106332798
模型4: 滞后3年 ln_RD,净利润增长率,1.762489027762889
模型4: 滞后3年 ln_RD,营业收入增长率,1.9299204390076585
模型4: 滞后3年 ln_RD,资产负债率,3.5609376470025427
模型4: 滞后3年 ln_RD,ln_Asset,4.078786258851832
